Results,,,,,,
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
2,2000,65536,32768,478.62,1095.4,4178.7
3,3000,65536,21845,334.43,1045.2,5980.3
4,4000,65536,16384,232.71,1126.5,8594.4
5,5000,65536,13107,183.04,1145.8,10927
6,6000,65536,10923,151.09,1157,13237
7,7000,65536,9362.3,132.08,1134.4,15143
8,8000,65536,8192,116.19,1128.1,17213
9,9000,65536,7281.8,101.27,1151.5,19750
10,10000,65536,6553.6,92.072,1139.8,21722
1,1000,131072,131070,1664.6,1259.9,1201.5
2,2000,131072,65536,835.32,1255.3,2394.3
3,3000,131072,43691,523.26,1336,3822.2
4,4000,131072,32768,428.12,1224.6,4671.6
5,5000,131072,26214,311.92,1344.7,6411.8
6,6000,131072,21845,256.12,1364.8,7808.8
7,7000,131072,18725,215.82,1388.4,9267
8,8000,131072,16384,183.1,1431.7,10923
9,9000,131072,14564,168.22,1385.6,11889
10,10000,131072,13107,146.57,1431,13645
1,1000,262144,262140,3321.2,1262.9,602.2
2,2000,262144,131070,1505.9,1392.6,1328.1
3,3000,262144,87381,988.06,1415,2024.2
4,4000,262144,65536,727.97,1440.4,2747.4
5,5000,262144,52429,604.05,1388.8,3311
6,6000,262144,43691,486.99,1435.6,4106.9
7,7000,262144,37449,471.77,1270.1,4239.4
8,8000,262144,32768,435.98,1202.5,4587.3
9,9000,262144,29127,356.7,1306.6,5607
10,10000,262144,26214,327.57,1280.6,6105.6
1,1000,524288,524290,6655,1260.5,300.53
2,2000,524288,262140,3002.8,1396.8,666.05
3,3000,524288,174760,1966.7,1421.8,1016.9
4,4000,524288,131070,1413.4,1483.8,1415.1
5,5000,524288,104860,1113.4,1506.9,1796.3
6,6000,524288,87381,937.57,1491.2,2133.2
7,7000,524288,74898,798.12,1501.5,2505.9
8,8000,524288,65536,736.23,1424.3,2716.6
9,9000,524288,58254,608.44,1531.9,3287.1
10,10000,524288,52429,564.9,1485.2,3540.4
1,1000,1048580,1048600,13247,1266.5,150.98
2,2000,1048580,524290,5998.9,1398.4,333.39
3,3000,1048580,349530,3814.7,1466,524.28
4,4000,1048580,262140,2824.4,1485,708.12
5,5000,1048580,209720,2154.7,1557.3,928.22
6,6000,1048580,174760,1832.6,1525.8,1091.3
7,7000,1048580,149800,1592.2,1505.3,1256.1
8,8000,1048580,131070,1247.1,1681.6,1603.7
9,9000,1048580,116510,1089.9,1710.4,1835
10,10000,1048580,104860,993.14,1689.4,2013.8
